building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
4626 B St. SE,"4626 B Street Southeast, Washington, DC","The Home:  This home has recently been remodeled to give it the modern touch that you are looking for. On the first floor, there is a spacious living room with eastern light and a completely remodeled kitchen.",1 Unit Available,2 Bedrooms,"$1,450",800 sqft
821 Oglethorpe Street Northeast - 1,"821 Oglethorpe Street Northeast, Washington, DC","Tony WIlliams and LeaseCollection.com Presents Another Lovely Three bedroom, Three Level, Freshly Renovated Brick Row Home.",1 Unit Available,3 Bedrooms,"$2,900",1180 sqft
3221 8th St,"3221 8th Street Southeast, Washington, DC","8th Street Plaza is located in the re-developing community of Congress Heights in Southeast DC.

This Apartment features:

- Secure, gated building
- 775 sq ft.",1 Unit Available,2 Bedrooms,"$1,440",712 sqft
2001 12th St. NW,"2001 12th Street Northwest, Washington, DC","LOCATION! LOCATION! LOCATION!! Boutique Lincoln Condominiums @ U St, & 12th St. NE. Large top floor 1 Bedroom & Den with 2 Full bathrooms, Overlooking Courtyard. Fully Renovated with New Wood Floors, Carpeting, and Paint.",1 Unit Available,1 Bedroom,Ask,NA
2001 12th St. NW,"2001 12th Street Northwest, Washington, DC","LOCATION! LOCATION! LOCATION!! Boutique Lincoln Condominiums @ U St, & 12th St. NE. Large top floor 1 Bedroom & Den with 2 Full bathrooms, Overlooking Courtyard. Fully Renovated with New Wood Floors, Carpeting, and Paint.",1 Unit Available,2 Bedrooms,"$2,840",877 sqft
6523 1st Street NW,"6523 1st Street Northwest, Washington, DC","Platinum Dwellings presents this charming one bedroom unit with a lofted den in a secure building that sits on a corner lot!

No expense was spared with the renovation of this unit.",1 Unit Available,Studio,Ask,NA
6523 1st Street NW,"6523 1st Street Northwest, Washington, DC","Platinum Dwellings presents this charming one bedroom unit with a lofted den in a secure building that sits on a corner lot!

No expense was spared with the renovation of this unit.",1 Unit Available,1 Bedroom,"$1,900",645 sqft
6523 1st Street NW,"6523 1st Street Northwest, Washington, DC","Platinum Dwellings presents this charming one bedroom unit with a lofted den in a secure building that sits on a corner lot!

No expense was spared with the renovation of this unit.",1 Unit Available,2 Bedrooms,Ask,NA
5200 11th St,"5200 11th Street Northeast, Washington, DC","Bright and spacious 3 bedroom 1.5 bath home located on a corner lot on a quiet street. Hardwood floors throughout, new carpet in the sunroom.  Gorgeous new full bath, spacious bedrooms & plenty of storage space.",1 Unit Available,3 Bedrooms,"$2,575",1346 sqft
1515 Neal Street NE,"1515 Neal Street Northeast, Washington, DC","Beautiful 4BR/3.5BA home in Trinidad available for immediate occupancy. This home boasts modern white marble waterfall counters, stainless steel appliances, dishwasher, and in-unit laundry.",1 Unit Available,4 Bedrooms,"$3,795",2088 sqft
233 Longfellow Street NW,"233 Longfellow Street Northwest, Washington, DC","Stunning finishes throughout this stately 4BD/3BA home, plus a finished basement with separate kitchen! This home boasts Brazilian cherry hardwood floors, sleek quartz countertops, stainless steel appliances, a fully-fenced backyard with parking, ",1 Unit Available,4 Bedrooms,"$3,495",2000 sqft
3670 38th St NW,"3670 38th Street Northwest, Washington, DC","This is a beautiful top floor unit. When you enter the unit, you have a great kitchen, lovely dining room nook, and a large living area.  On the same floor, you have a large bedroom with plenty of closet space.",1 Unit Available,1 Bedroom,Ask,NA
3670 38th St NW,"3670 38th Street Northwest, Washington, DC","This is a beautiful top floor unit. When you enter the unit, you have a great kitchen, lovely dining room nook, and a large living area.  On the same floor, you have a large bedroom with plenty of closet space.",1 Unit Available,2 Bedrooms,"$2,650",1150 sqft
Woburn,"1910 Kalorama Road Northwest, Washington, DC",Beautiful and bright 1BD/1BA plus den apartment available for rent in historic and lively Adams Morgan.,1 Unit Available,Studio,Ask,NA
Woburn,"1910 Kalorama Road Northwest, Washington, DC",Beautiful and bright 1BD/1BA plus den apartment available for rent in historic and lively Adams Morgan.,1 Unit Available,1 Bedroom,"$2,095",729 sqft
1111 11th Street NW,"1111 11th Street Northwest, Washington, DC","Bright and modern 1-bedroom PLUS DEN available September 25th! Open floor plan living, dining and kitchen with lots of natural light overlooking Mt. Vernon Square. Beautiful kitchen with granite counters and maple cabinets.",1 Unit Available,1 Bedroom,"$2,095",692 sqft
2020 12th Street Northwest,"2020 12th Street Northwest, Washington, DC","Stunning condo with wall-to-wall windows, fireplace, beautiful wood floors, modern kitchen, fireplace & garage parking!  2 bedrooms, 2 bathrooms, huge walk-in closet. Washer & Dryer in unit.",1 Unit Available,Studio,Ask,NA
2020 12th Street Northwest,"2020 12th Street Northwest, Washington, DC","Stunning condo with wall-to-wall windows, fireplace, beautiful wood floors, modern kitchen, fireplace & garage parking!  2 bedrooms, 2 bathrooms, huge walk-in closet. Washer & Dryer in unit.",1 Unit Available,1 Bedroom,Ask,NA
2020 12th Street Northwest,"2020 12th Street Northwest, Washington, DC","Stunning condo with wall-to-wall windows, fireplace, beautiful wood floors, modern kitchen, fireplace & garage parking!  2 bedrooms, 2 bathrooms, huge walk-in closet. Washer & Dryer in unit.",1 Unit Available,2 Bedrooms,"$3,200",1054 sqft
350 G STREET SW,"350 G Street Southwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 350 G STREET SW in
      Washington. View photos, descriptions and more!
",1 Unit Available,1 Bedroom,"$2,495",673 sqft
350 G STREET SW,"350 G Street Southwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 350 G STREET SW in
      Washington. View photos, descriptions and more!
",1 Unit Available,2 Bedrooms,Ask,NA
2138 CALIFORNIA STREET NW,"2138 California Street Northwest, Washington, DC","Stunning 2 Bedroom, 2 level with den home in the heart of Kalorama! Private yard sets it aside from many other properties in the area. Open living space on main floor and 2 large bedrooms on second floor including large master bedroom.",1 Unit Available,1 Bedroom,Ask,NA
2138 CALIFORNIA STREET NW,"2138 California Street Northwest, Washington, DC","Stunning 2 Bedroom, 2 level with den home in the heart of Kalorama! Private yard sets it aside from many other properties in the area. Open living space on main floor and 2 large bedrooms on second floor including large master bedroom.",1 Unit Available,2 Bedrooms,"$3,750",1241 sqft
2112 WYOMING AVENUE NW,"2112 Wyoming Avenue Northwest, Washington, DC","Brand new, sparkling 2 level Kalorama boutique condo building with PARKING. WALK to Metro, shops, restaurants. 966 sunny square feet in stylish renovation. 9' ceilings, Juliet balcony, premium appliances, wine fridge, washer and dryer in unit.",1 Unit Available,2 Bedrooms,"$3,750",918 sqft
2700 N STREET NW,"2700 N Street Northwest, Washington, DC","Sparkling and renovated Georgetown East Village beauty over looking Rose Park.  GARAGE PARKING.  WALK to  the best of Georgetown, West End, Foggy Bottom and METRO.  Enjoy the quiet of East Village but close to everything.",1 Unit Available,3 Bedrooms,"$5,500",1500 sqft
1015 D STREET NE,"1015 D Street Northeast, Washington, DC",In one of the best pockets of Capitol Hill. Walk to everything on the Hill: from Union Station & Whole Foods to Lincoln Park & Eastern Market.,1 Unit Available,3 Bedrooms,"$5,500",2525 sqft
220 BRYANT STREET NE,"220 Bryant Street Northeast, Washington, DC","Light and Airy, freshly painted 2 bedroom, 1 bath townhome conveniently located within close proximity to the Brookland and Rhode Island Ave Metro stations, eateries, grocery stores, public transportation and newly planned community development on ",1 Unit Available,2 Bedrooms,"$2,650",1270 sqft
2511 CLIFFBOURNE PLACE NW,"2511 Cliffbourne Place Northwest, Washington, DC","1 bedrom 1 bath basement apartment in the heart  of Adams Morgan! One of the most beautiful streets in all of Adams Morgan and Mount Pleasant. Steps away from Shops, Restaurants, Metro and Rock Creek Park.",1 Unit Available,1 Bedroom,"$1,600",1940 sqft
2101 N STREET NW,"2101 N Street Northwest, Washington, DC","LOCATION,  FULLY FURNISHED,  SHORT-TERM - 6 months.  Available Sept. 1  Flooded with light! Corner unit and corner building.",1 Unit Available,1 Bedroom,"$2,195",520 sqft
2116 T STREET SE,"2116 T Street Southeast, Washington, DC","NICE & RENT READY this classic Anacostia 3 bedroom, 1.5 bathroom rowhome features many upgrades.",1 Unit Available,3 Bedrooms,"$2,500",1486 sqft
705 QUACKENBOS STREET NW,"705 Quackenbos Street Northwest, Washington, DC","Beautiful, recently renovated basement unit with lots of natural light, in a quiet neighborhood with a separate entrance. New stainless steel appliances and granite countertop. No pets allowed! All utilities included.",1 Unit Available,2 Bedrooms,"$2,100",737 sqft
1314 MASSACHUSETTS AVENUE NW,"1314 Massachusetts Avenue Northwest, Washington, DC","Location, Location, Location!!! In the heart of DC. Steps to famous Logan Circle, blocks to metros, downtown, Dupont and Logan Circle, Convention Center, Chinatown, restaurants, shops, Whole Foods and much more.",1 Unit Available,Studio,Ask,NA
1314 MASSACHUSETTS AVENUE NW,"1314 Massachusetts Avenue Northwest, Washington, DC","Location, Location, Location!!! In the heart of DC. Steps to famous Logan Circle, blocks to metros, downtown, Dupont and Logan Circle, Convention Center, Chinatown, restaurants, shops, Whole Foods and much more.",1 Unit Available,1 Bedroom,"$2,100",746 sqft
2400 GOOD HOPE ROAD SE,"2400 Good Hope Road Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2400 GOOD HOPE ROAD SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,1 Bedroom,Ask,NA
2400 GOOD HOPE ROAD SE,"2400 Good Hope Road Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2400 GOOD HOPE ROAD SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,2 Bedrooms,"$1,944",816 sqft
1208 HOLBROOK STREET NE,"1208 Holbrook Street Northeast, Washington, DC","Welcome home to this beautiful 2BR/1BA unit in Trinidad neighborhood! Located minutes from the lively H St Corridor, this unit provides with the proximity of being so close to the action at a modest price point.",1 Unit Available,2 Bedrooms,"$1,849",799 sqft
1415 HAMILTON STREET NW,"1415 Hamilton Street Northwest, Washington, DC","A rare find steps from Rock Creek Park.  1 BR 1BA  Basement Apartment with all utilities included,  separate Washer/Dryer,  separate entrance and guaranteed parking in a renovated historic 1923 all-brick classic home.",1 Unit Available,1 Bedroom,"$1,600",3676 sqft
88 V STREET SW,"88 V Street Northwest, Washington, DC",Waterfront condo located at the tip of Buzzard Point. The views from this two bedroom two full bath condo will have you feeling like you are on a tranquil vacation.,1 Unit Available,2 Bedrooms,"$3,500",751 sqft
3986 PENNSYLVANIA AVENUE SE,"3986 Pennsylvania Avenue Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 3986 PENNSYLVANIA AVENUE SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,1 Bedroom,"$1,287",550 sqft
624 Q STREET NW,"624 Q Street Northwest, Washington, DC","Beautiful 2 level 2 bedroom/2 bath condo in central downtown location.  NEW HVAC 2019.  Hardwood floors, granite counters, stainless steel appliances, tiled baths, jacuzzi tub, dramatic two story living room.  Available Aug 19th.",1 Unit Available,2 Bedrooms,"$2,600",825 sqft
3228 13TH STREET NW,"3228 13th Street Northwest, Washington, DC","Just a few blocks to the Columbia Heights Metro and all that this neighborhood has to offer!
Tons of shops, restaurants and entertainment.
Lovely 2 bedroom, 1 bath basement apt. with front to rear entrance and exit. Rear yard for entertaining.",1 Unit Available,2 Bedrooms,"$2,500",3058 sqft
709 BRANDYWINE STREET SE,"709 Brandywine Street Southeast, Washington, DC","You'll LOVE this 2 bedroom, 1 bath condo . Move in right away to this gorgeous apartment . Near several bus lines, Metro, and easy access to highways into MD and downtown DC.",1 Unit Available,2 Bedrooms,"$1,400",703 sqft
38 RHODE ISLAND AVENUE NE,"38 Rhode Island Avenue Northeast, Washington, DC",This is a limited placement please call landlord directly with all inquiries and information.,1 Unit Available,1 Bedroom,Ask,NA
38 RHODE ISLAND AVENUE NE,"38 Rhode Island Avenue Northeast, Washington, DC",This is a limited placement please call landlord directly with all inquiries and information.,1 Unit Available,2 Bedrooms,"$2,300",934 sqft
3838 SOUTH CAPITOL STREET SE,"3838 South Capitol Street Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 3838 SOUTH CAPITOL STREET SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,3 Bedrooms,"$2,089",800 sqft
2501 CALVERT STREET NW,"2501 Calvert Street Northwest, Washington, DC","2Bed/2Bath, Walk to Woodley-Park Metro and National Zoo. Very convenient area yet quiet! Renovated kitchen and bath. Hardwood floor, Granite Counter, Silver Stainless Appliances, Southern Exposure and much more. The unit is 1,153sqft.",1 Unit Available,Studio,Ask,NA
2501 CALVERT STREET NW,"2501 Calvert Street Northwest, Washington, DC","2Bed/2Bath, Walk to Woodley-Park Metro and National Zoo. Very convenient area yet quiet! Renovated kitchen and bath. Hardwood floor, Granite Counter, Silver Stainless Appliances, Southern Exposure and much more. The unit is 1,153sqft.",1 Unit Available,1 Bedroom,Ask,NA
2501 CALVERT STREET NW,"2501 Calvert Street Northwest, Washington, DC","2Bed/2Bath, Walk to Woodley-Park Metro and National Zoo. Very convenient area yet quiet! Renovated kitchen and bath. Hardwood floor, Granite Counter, Silver Stainless Appliances, Southern Exposure and much more. The unit is 1,153sqft.",1 Unit Available,2 Bedrooms,"$2,800",1016 sqft
1615 Q STREET NW,"1615 Q Street Northwest, Washington, DC",Tallest Residential Building in DC! Incredible location with amazing views. Sunny Western exposure throws loads of sunlight through the over sized windows into this cheerful space.,1 Unit Available,Studio,"$2,000",376 sqft
1615 Q STREET NW,"1615 Q Street Northwest, Washington, DC",Tallest Residential Building in DC! Incredible location with amazing views. Sunny Western exposure throws loads of sunlight through the over sized windows into this cheerful space.,1 Unit Available,1 Bedroom,Ask,NA
1615 Q STREET NW,"1615 Q Street Northwest, Washington, DC",Tallest Residential Building in DC! Incredible location with amazing views. Sunny Western exposure throws loads of sunlight through the over sized windows into this cheerful space.,1 Unit Available,2 Bedrooms,Ask,NA
4729 1ST STREET SW,"4729 1st Street Southwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 4729 1ST STREET SW in
      Washington. View photos, descriptions and more!
",1 Unit Available,1 Bedroom,"$1,279",592 sqft
2844 HARTFORD STREET SE,"2844 Hartford Street Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2844 HARTFORD STREET SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,2 Bedrooms,Ask,NA
2844 HARTFORD STREET SE,"2844 Hartford Street Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2844 HARTFORD STREET SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,3 Bedrooms,"$2,448",775 sqft
2901 NELSON PLACE SE,"2901 Nelson Place Southeast, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 2901 NELSON PLACE SE in
      Washington. View photos, descriptions and more!
",1 Unit Available,5 Bedrooms,"$3,458",3500 sqft
4731 1ST STREET SW,"4731 1st Street Southwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 4731 1ST STREET SW in
      Washington. View photos, descriptions and more!
",1 Unit Available,1 Bedroom,Ask,NA
4731 1ST STREET SW,"4731 1st Street Southwest, Washington, DC","      Find studio, 1, 2 and 3 bedroom apartments for rent at 4731 1ST STREET SW in
      Washington. View photos, descriptions and more!
",1 Unit Available,2 Bedrooms,"$1,557",717 sqft
2512 HIGH STREET SE,"2512 High Street Southeast, Washington, DC","Don't look any further.   The best rental is on the market.  This newly built Townhome has 4 bedrooms and 31/2 bathrooms, blocks from the Anacostia historic district, Southeast Washington D.C. 1/2 mile from the Anacostia metro.",1 Unit Available,4 Bedrooms,"$2,949",2316 sqft
26 R STREET NW,"26 R Street Northwest, Washington, DC","Welcome home to this lovely, newly remodeled (2019) FULLY FURNISHED 2 bedroom, 1 bathroom English basement apartment, located in the highly desirable Bloomingdale neighborhood of DC.",1 Unit Available,2 Bedrooms,"$2,250",2810 sqft
26 R STREET NW,"26 R Street Northwest, Washington, DC","Welcome home to this lovely, newly remodeled (2019) FULLY FURNISHED 2 bedroom, 1 bathroom English basement apartment, located in the highly desirable Bloomingdale neighborhood of DC.",1 Unit Available,3 Bedrooms,Ask,NA
505 19TH NE,"505 19th Street Northeast, Washington, DC","Location! Location!Location! Check out this cozy, newly renovated and painted one-bed and one bath apartment a few blocks from the H street corridor and RFK Stadium.",1 Unit Available,1 Bedroom,"$1,700",600 sqft
1144 OATES STREET NE,"1144 Oates Street Northeast, Washington, DC","Newly renovated 2 bedrooms and one bath apartment, the place is ideally situated between Union Station and New York Avenue metro.",1 Unit Available,2 Bedrooms,"$1,700",2784 sqft
1107 MASSACHUSETTS AVENUE NW,"1107 Massachusetts Avenue Northwest, Washington, DC","Step in this  * RARELY AVAILABLE *  Elegant, Well maintained, FURNISHED Historic Property in Heart of DC. One of the last surviving early antebellum Federal homes. This four story home has 8 bedrooms and 4 bathrooms.",1 Unit Available,8 Bedrooms,"$9,900",4320 sqft
1103 5TH STREET NW,"1103 5th Street Northwest, Washington, DC","Please follow CDC guideline, wear face mask, Great location Row-home with 1 bedroom, 1 bath, bamboo hardwood flooring, and spacious kitchen with granite countertops. Private entrance basement unit.",1 Unit Available,1 Bedroom,"$1,800",500 sqft
3116 DUMBARTON STREET NW,"3116 Dumbarton Street Northwest, Washington, DC","A handsome all brick, federal semi-detached row house with high ceilings, large entertaining rooms, and a pretty garden is now available for rent.",1 Unit Available,5 Bedrooms,"$7,950",3060 sqft
3537 NEW HAMPSHIRE AVENUE NW,"3537 New Hampshire Avenue Northwest, Washington, DC",THE BERNSHIRE CONDOS....... Penthouse Unit....Unbelievable end unit row house with 2 luxury condos for rent unfurnished.,1 Unit Available,2 Bedrooms,"$3,200",1300 sqft
3537 NEW HAMPSHIRE AVENUE NW,"3537 New Hampshire Avenue Northwest, Washington, DC",THE BERNSHIRE CONDOS....... Penthouse Unit....Unbelievable end unit row house with 2 luxury condos for rent unfurnished.,1 Unit Available,3 Bedrooms,Ask,NA
2322 HIGH STREET SE,"2322 High Street Southeast, Washington, DC","Located in Historic Anacostia. This 5 bedroom/2 bath home on High Street,  Easily accessible to public transportation and very walkable.",1 Unit Available,5 Bedrooms,"$3,000",2322 sqft
3024 PINEVIEW COURT NE,"3024 Pineview Court Northeast, Washington, DC","Top Floor One Bedroom in Serene Fort Lincoln * Open Floorplan, Skylight in Living Room, Washer / Dryer In-Unit * Off-Street Parking Included (Space #17) * No Pets, No Smoking * Located Two Blocks to DC Brau Brewery & One Mile From Dakota Crossing ",1 Unit Available,1 Bedroom,"$1,400",584 sqft
1856 KALORAMA ROAD NW,"1856 Kalorama Road Northwest, Washington, DC","Beautiful 2 bedrooms 1000SF apartment, encompassing the entire 1st floor of a boutique building in the heart of Adams Morgan, on a quiet street, near all of the attractions and nightlife Adams Morgan offers.",1 Unit Available,2 Bedrooms,"$3,150",1000 sqft
1334 MARYLAND AVENUE NE,"1334 Maryland Avenue Northeast, Washington, DC",Fully Furnished English.  Basement apartment. Ready to move in. Close to Capital Hill. H Street Corridor. Minute to Downtown,1 Unit Available,1 Bedroom,"$1,950",1400 sqft
1334 MARYLAND AVENUE NE,"1334 Maryland Avenue Northeast, Washington, DC",Fully Furnished English.  Basement apartment. Ready to move in. Close to Capital Hill. H Street Corridor. Minute to Downtown,1 Unit Available,3 Bedrooms,Ask,NA
1831 BELMONT ROAD NW,"1831 Belmont Road Northwest, Washington, DC","Charming 2 BR Apt in a boutique old world charm building in the heart of Adams Morgan.  Tall ceilings, updated kitchen, hardwood floors. A stone throw to best of nightlife,  restaurants & retail.",1 Unit Available,2 Bedrooms,"$2,600",822 sqft
825 10TH STREET NW,"825 10th Street Northwest, Washington, DC","CITY CENTERComprised of 458 sophisticated residences in two separate towers, The Apartments at CityCenter is the centerpiece of the vibrant 10-acre CityCenterDC neighborhood.",1 Unit Available,Studio,Ask,NA
825 10TH STREET NW,"825 10th Street Northwest, Washington, DC","CITY CENTERComprised of 458 sophisticated residences in two separate towers, The Apartments at CityCenter is the centerpiece of the vibrant 10-acre CityCenterDC neighborhood.",1 Unit Available,1 Bedroom,Ask,NA
825 10TH STREET NW,"825 10th Street Northwest, Washington, DC","CITY CENTERComprised of 458 sophisticated residences in two separate towers, The Apartments at CityCenter is the centerpiece of the vibrant 10-acre CityCenterDC neighborhood.",1 Unit Available,2 Bedrooms,"$8,000",1224 sqft
1385 NICHOLSON STREET NW,"1385 Nicholson Street Northwest, Washington, DC",Excellent location! Beautifully-appointed renovated apt.,1 Unit Available,2 Bedrooms,"$2,250",725 sqft
1500 OATES STREET NE,"1500 Oates Street Northeast, Washington, DC","Beautiful one bedroom and den,stunning,very well kept.Showing notice 24 hours.Washer/Dryer
Absolutely not pets.",1 Unit Available,1 Bedroom,"$1,600",3602 sqft
2430 4TH STREET NE,"2430 4th Street Northeast, Washington, DC","STUNNING REMODEL! Avail August Move In!!--private secured parking in rear behind privacy fence.  Walk to METRO & Forman Mills Shopping & MORE!, public bus serv.",1 Unit Available,3 Bedrooms,"$3,100",1644 sqft
3415 13TH STREET NW,"3415 13th Street Northwest, Washington, DC",New Renovation in 2017!!! 5 BED/3.5 BTH!!! Huge 3 Level End-Row-Townhome in Columbia Heights! 0.3 miles to Columbia Heights Metro Station and 0.,1 Unit Available,5 Bedrooms,"$5,995",2458 sqft
1522 R STREET NW,"1522 R Street Northwest, Washington, DC","Penthouse level apartment located in an 1885 historical end unit row house. This home has 4 total apartments. Each apt. has it's own floor. All utilities included! Spacious, open floor plan with high ceilings and huge windows with tons of sunlight.",1 Unit Available,1 Bedroom,Ask,NA
1522 R STREET NW,"1522 R Street Northwest, Washington, DC","Penthouse level apartment located in an 1885 historical end unit row house. This home has 4 total apartments. Each apt. has it's own floor. All utilities included! Spacious, open floor plan with high ceilings and huge windows with tons of sunlight.",1 Unit Available,2 Bedrooms,"$2,450",5042 sqft
4409 FOOTE STREET NE,"4409 Foote Street Northeast, Washington, DC",A very beautiful newly printed First floor (basement) of the Semi-Detached house. It features 2 bedrooms and 1 bathroom. It has a combined washer and dryer.close to two Metros: Minnesota and Benning Road.,1 Unit Available,2 Bedrooms,"$1,750",630 sqft
2221 I STREET NW,"2221 I Street Northwest, Washington, DC","RESIDENCES ON THE AVENUEInside the fabulous homes at the Residences on the Avenue are beautiful interiors including fully-equipped kitchens with granite countertops, elegant bathrooms, in-home washers & dryers and much more.",1 Unit Available,Studio,Ask,NA
2221 I STREET NW,"2221 I Street Northwest, Washington, DC","RESIDENCES ON THE AVENUEInside the fabulous homes at the Residences on the Avenue are beautiful interiors including fully-equipped kitchens with granite countertops, elegant bathrooms, in-home washers & dryers and much more.",1 Unit Available,1 Bedroom,Ask,NA
2221 I STREET NW,"2221 I Street Northwest, Washington, DC","RESIDENCES ON THE AVENUEInside the fabulous homes at the Residences on the Avenue are beautiful interiors including fully-equipped kitchens with granite countertops, elegant bathrooms, in-home washers & dryers and much more.",1 Unit Available,2 Bedrooms,"$6,600",1126 sqft
3060 16TH STREET NW,"3060 16th Street Northwest, Washington, DC","Walk to Columbia Heights Metro, Metrobus at Door, Walk Score 97, Fully Equipped One Bedroom on 16th & Irving Streets, N. W.",1 Unit Available,1 Bedroom,"$1,795",528 sqft
3060 16TH STREET NW,"3060 16th Street Northwest, Washington, DC","Walk to Columbia Heights Metro, Metrobus at Door, Walk Score 97, Fully Equipped One Bedroom on 16th & Irving Streets, N. W.",1 Unit Available,2 Bedrooms,Ask,NA
1305 H STREET NE,"1305 H Street Northeast, Washington, DC","A perfect mix of comfort, style, and convenience ft. 2 Bedroom/2 Bath,each room comes with own bathroom, maple hardwood floors, Dishwasher, Disposal,Washer/Dryer,Microwave, Oven/Range, Refrigerator-stainless still appliances.",1 Unit Available,2 Bedrooms,"$2,550",2328 sqft
1226 MEIGS PLACE NE,"1226 Meigs Place Northeast, Washington, DC","Welcome Home! Wonderful renovated two bedroom unit on a quiet street is ready for immediate occupancy. New stainless steel appliances, stylish white cabinets, granite countertop, recessed lighting and a convenient stackable washer and dryer.",1 Unit Available,2 Bedrooms,"$1,600",700 sqft
2903 R STREET SE,"2903 R Street Southeast, Washington, DC","Beautiful fully renovated 2 Bedroom 1 Bath unit, living room/Dining room combo.Washer/ Dryer in unit.Stainless steal appliances .  Shows Well.!!Move ready. UNITS # 3B AND 4B",1 Unit Available,2 Bedrooms,"$2,200",719 sqft
2263 16TH STREET NE,"2263 16th Street Northeast, Washington, DC","ATTENTION NEWLY RENOVATED PROPERTY FOR LEASE.
Do not show if anyone is experiencing symptoms of Covid-19 or feeling unwell. Please follow CDC protocol. Maximum of 3 people allowed in the house during showing.  Masks are required.",1 Unit Available,3 Bedrooms,"$3,500",1504 sqft
2910 13TH STREET NW,"2910 13th Street Northwest, Washington, DC",Beautifully Renovated 2 Level Duplex Condo just 2 blocks from Columbia Heights Metro.,1 Unit Available,3 Bedrooms,"$3,945",1281 sqft
70 N ST SE,"70 N Street SE, Washington, DC","COMING SOON IN LATE AUGUST  @ the NAVY YARD ENVY BUILDING.  Construction is almost complete and tours will begin shortly after. Discover the best of Washington. Walk to shops, restaurants, entertainment and the NAVY YARD METRO.....",1 Unit Available,1 Bedroom,"$2,250",700 sqft
2301 CHAMPLAIN STREET NW,"2301 Champlain Street Northwest, Washington, DC","Open house Sunday 8-23 1-3pm.  LOCATION LOCATION! Come see today! Available immediately. Check out the VIRTUAL TOUR.  Close to metro and one block from everything Adams Morgan. Shopping, restaurants, and gym right around the corner.",1 Unit Available,Studio,"$1,675",454 sqft
2301 CHAMPLAIN STREET NW,"2301 Champlain Street Northwest, Washington, DC","Open house Sunday 8-23 1-3pm.  LOCATION LOCATION! Come see today! Available immediately. Check out the VIRTUAL TOUR.  Close to metro and one block from everything Adams Morgan. Shopping, restaurants, and gym right around the corner.",1 Unit Available,2 Bedrooms,Ask,NA
118 W STREET NW,"118 W Street Northwest, Washington, DC","Lovely and Spacious, One(1) Bedroom One(1) Bath English Basement, Access though  front and rear,  Newly renovated , Stainless Steel Appliances Granite, Washer/Dryer.  Located in the Ledroit Park/Bloomingdale neighborhood.",1 Unit Available,1 Bedroom,"$1,850",990 sqft
118 W STREET NW,"118 W Street Northwest, Washington, DC","Lovely and Spacious, One(1) Bedroom One(1) Bath English Basement, Access though  front and rear,  Newly renovated , Stainless Steel Appliances Granite, Washer/Dryer.  Located in the Ledroit Park/Bloomingdale neighborhood.",1 Unit Available,3 Bedrooms,Ask,NA
2725 39TH STREET NW,"2725 39th Street Northwest, Washington, DC",Rarely available Stylish Glover Park condo in Lovely Renovated Building.,1 Unit Available,1 Bedroom,"$2,100",742 sqft
2725 39TH STREET NW,"2725 39th Street Northwest, Washington, DC",Rarely available Stylish Glover Park condo in Lovely Renovated Building.,1 Unit Available,2 Bedrooms,Ask,NA
1607 TRINIDAD AVENUE NE,"1607 Trinidad Avenue Northeast, Washington, DC","Immaculate renovated basement apartment with plenty of natural light, fresh paint, new flooring featuring 1 bedroom 1 full bath with access to back patio located in walking distance to shops, restaurants, public transportation, H Street market and ",1 Unit Available,1 Bedroom,"$1,750",1928 sqft
565 PENNSYLVANIA AVE NW,"565 Pennsylvania Avenue Northwest, Washington, DC","All Furnishings, All Housewares, All Utilities, Linens, Electronics, Wi-Fi, Local Phone, Expanded Basic Cable, Kitchen is Fully Equipped, Parking is additional, Queen Bed.",1 Unit Available,Studio,Ask,NA
565 PENNSYLVANIA AVE NW,"565 Pennsylvania Avenue Northwest, Washington, DC","All Furnishings, All Housewares, All Utilities, Linens, Electronics, Wi-Fi, Local Phone, Expanded Basic Cable, Kitchen is Fully Equipped, Parking is additional, Queen Bed.",1 Unit Available,1 Bedroom,"$5,000",848 sqft
565 PENNSYLVANIA AVE NW,"565 Pennsylvania Avenue Northwest, Washington, DC","All Furnishings, All Housewares, All Utilities, Linens, Electronics, Wi-Fi, Local Phone, Expanded Basic Cable, Kitchen is Fully Equipped, Parking is additional, Queen Bed.",1 Unit Available,2 Bedrooms,Ask,NA
